# #lambda	QE(%)
5.146399999999999864e+02 1.612392000000000181e+01
5.150800000000000409e+02 1.606703999999999155e+01
5.155199999999999818e+02 1.599576000000000064e+01
5.159600000000000364e+02 1.592447999999999197e+01
5.163999999999999773e+02 1.585320000000000285e+01
5.168400000000000318e+02 1.578191999999999418e+01
5.172799999999999727e+02 1.571064000000000327e+01
5.177200000000000273e+02 1.563935999999999460e+01
5.181599999999999682e+02 1.556808000000000369e+01
5.186000000000000227e+02 1.549679999999999502e+01
5.190399999999999636e+02 1.542552000000000589e+01
5.194800000000000182e+02 1.535423999999999722e+01
5.199199999999999591e+02 1.528296000000000632e+01
5.203600000000000136e+02 1.518287999999999549e+01
5.207999999999999545e+02 1.507640000000001024e+01
5.212400000000000091e+02 1.496991999999999834e+01
5.216800000000000637e+02 1.486343999999998466e+01
5.221200000000000045e+02 1.475695999999999941e+01
5.225599999999999454e+02 1.465048000000001238e+01
5.230000000000000000e+02 1.454400000000000048e+01
5.234400000000000546e+02 1.443751999999998681e+01
5.238799999999999955e+02 1.433104000000000156e+01
5.243199999999999363e+02 1.422456000000001630e+01
5.247599999999999909e+02 1.411808000000000263e+01
